no.   kW    kVAr   
 1  0.000  0.000 
 2  0.000  0.000 
 3  0.000  0.000 
 4  0.000  0.000 
 5  0.000  0.000 
 6  0.000  0.000 
 7  0.000  0.000 
 8  0.000  0.000 
 9  0.000  0.000 
 10  0.000  0.000 
 11  0.000  0.000 
 12  0.000  0.000 
 13  0.000  0.000 
 14  0.000  0.000 
 15  0.000  0.000 
 16  0.000  0.000 
 17  0.000  0.000 
 18  0.000  0.000 
 19  0.000  0.000 
 20  0.000  0.000 
 21  0.000  0.000 
 22  0.000  0.000 
 23  0.000  0.000 
 24  0.000  0.000 
 25  0.000  0.000 
 26  0.000  0.000 
 27  0.000  0.000 
 28  0.000  0.000 
 29  0.000  0.000 
 30  0.000  0.000 
 31  0.000  0.000 
 32  0.000  0.000 
 33  0.000  0.000 
 34  0.000  0.000 
 35  0.000  0.000 
 36  0.000  0.000 
 37  0.000  0.000 
 38  0.000  0.000 
 39  0.000  0.000 
 40  0.000  0.000 
 41  0.831  0.277 
 42  0.734  0.245 
 43  0.691  0.230 
 44  0.876  0.292 
 45  0.912  0.304 
 46  0.692  0.231 
 47  0.792  0.264 
 48  1.512  0.504 
 49  1.250  0.417 
 50  0.822  0.274 
 51  0.843  0.281 
 52  0.884  0.295 
 53  0.000  0.000 
 54  0.000  0.000 
 55  0.000  0.000 
 56  0.000  0.000 
 57  0.000  0.000 
 58  0.000  0.000 
 59  1.038  0.346 
 60  2.373  0.791 
 61  1.510  0.503 
 62  1.617  0.539 
 63  1.894  0.631 
 64  1.321  0.440 
 65  2.586  0.862 
 66  1.267  0.422 
 67  1.275  0.425 
 68  1.950  0.650 
 69  0.000  0.000 
 70  0.000  0.000 
 71  0.000  0.000 
 72  0.000  0.000 
 73  0.000  0.000 
 74  2.034  0.678 
 75  1.349  0.450 
 76  1.679  0.560 
 77  1.324  0.441 
 78  1.377  0.459 
 79  1.808  0.603 
 80  2.042  0.681 
 81  2.015  0.672 
 82  0.000  0.000 
 83  0.000  0.000 
 84  0.000  0.000 
 85  0.000  0.000 
 86  0.000  0.000 
 87  1.387  0.462 
 88  1.363  0.454 
 89  1.301  0.434 
 90  1.339  0.446 
 91  1.376  0.459 
 92  1.206  0.402 
 93  1.384  0.461 
 94  2.939  0.980 
 95  0.000  0.000 
 96  0.000  0.000 
 97  0.000  0.000 
