
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"1.1"              ,    0.00000,  1.26600E+0004,  0.00000E+0000
"2.1"              ,    0.00000,  1.26234E+0004,  0.00000E+0000
"3.1"              ,    0.00000,  1.24506E+0004,  0.00000E+0000
"4.1"              ,    0.00000,  1.23601E+0004,  0.00000E+0000
"5.1"              ,    0.00000,  1.22708E+0004,  0.00000E+0000
"6.1"              ,    0.00000,  1.20490E+0004,  0.00000E+0000
"7.1"              ,    0.00000,  1.20068E+0004,  0.00000E+0000
"8.1"              ,    0.00000,  1.19485E+0004,  0.00000E+0000
"9.1"              ,    0.00000,  1.18739E+0004,  0.00000E+0000
"10.1"             ,    0.00000,  1.18049E+0004,  0.00000E+0000
"11.1"             ,    0.00000,  1.17947E+0004,  0.00000E+0000
"12.1"             ,    0.00000,  1.17770E+0004,  0.00000E+0000
"13.1"             ,    0.00000,  1.17050E+0004,  0.00000E+0000
"14.1"             ,    0.00000,  1.16783E+0004,  0.00000E+0000
"15.1"             ,    0.00000,  1.16618E+0004,  0.00000E+0000
"16.1"             ,    0.00000,  1.16458E+0004,  0.00000E+0000
"17.1"             ,    0.00000,  1.16221E+0004,  0.00000E+0000
"18.1"             ,    0.00000,  1.16149E+0004,  0.00000E+0000
"19.1"             ,    0.00000,  1.26168E+0004,  0.00000E+0000
"20.1"             ,    0.00000,  1.25715E+0004,  0.00000E+0000
"21.1"             ,    0.00000,  1.25626E+0004,  0.00000E+0000
"22.1"             ,    0.00000,  1.25546E+0004,  0.00000E+0000
"23.1"             ,    0.00000,  1.24053E+0004,  0.00000E+0000
"24.1"             ,    0.00000,  1.23209E+0004,  0.00000E+0000
"25.1"             ,    0.00000,  1.22788E+0004,  0.00000E+0000
"26.1"             ,    0.00000,  1.20259E+0004,  0.00000E+0000
"27.1"             ,    0.00000,  1.19953E+0004,  0.00000E+0000
"28.1"             ,    0.00000,  1.18590E+0004,  0.00000E+0000
"29.1"             ,    0.00000,  1.17613E+0004,  0.00000E+0000
"30.1"             ,    0.00000,  1.17191E+0004,  0.00000E+0000
"31.1"             ,    0.00000,  1.16700E+0004,  0.00000E+0000
"32.1"             ,    0.00000,  1.16592E+0004,  0.00000E+0000
"33.1"             ,    0.00000,  1.16558E+0004,  0.00000E+0000

Max Error =    0.00000
