Element, Nterminals, Nconductors, P_1, Q_1, ...
"Vsource.source", 2, 1,   -1907.76,   -1174.92,          0,          0
"Vsource.sourcebus", 2, 1,   -1907.76,   -1174.92,          0,          0
"Line.line1", 2, 1,    3815.53,    2349.85,   -3803.98,   -2344.16
"Line.line2", 2, 1,    3342.84,     2123.9,   -3294.31,   -2099.38
"Line.line3", 2, 1,    2264.71,    1602.74,   -2246.54,   -1593.68
"Line.line4", 2, 1,    2126.54,    1513.68,   -2109.54,   -1505.22
"Line.line5", 2, 1,    2049.54,    1475.22,   -2014.86,   -1445.46
"Line.line6", 2, 1,    1052.32,     505.13,   -1050.57,   -499.507
"Line.line7", 2, 1,    851.273,    399.861,   -846.908,   -398.602
"Line.line8", 2, 1,     649.65,    299.973,   -645.955,   -297.501
"Line.line9", 2, 1,    587.554,    278.034,   -584.425,   -275.996
"Line.line10", 2, 1,    526.738,    256.767,   -526.254,   -256.785
"Line.line11", 2, 1,    483.067,    227.994,   -482.299,   -227.918
"Line.line12", 2, 1,    424.899,    194.435,   -422.588,   -192.793
"Line.line13", 2, 1,    365.927,    159.741,   -365.297,   -159.086
"Line.line14", 2, 1,    252.519,     83.901,   -252.212,   -83.8024
"Line.line15", 2, 1,    195.992,    74.4324,    -195.75,   -74.4303
"Line.line16", 2, 1,    139.693,    55.7446,   -139.478,   -55.6309
"Line.line17", 2, 1,    83.6619,    37.0255,   -83.6165,   -37.1629
"Line.line18", 2, 1,    361.136,    160.265,   -360.975,   -160.316
"Line.line19", 2, 1,    270.975,    120.316,   -270.144,   -119.771
"Line.line20", 2, 1,    180.144,    79.7706,   -180.044,   -79.8555
"Line.line21", 2, 1,    90.0436,    39.8555,        -90,        -40
"Line.line22", 2, 1,    939.599,    456.645,   -936.422,   -454.672
"Line.line23", 2, 1,    846.422,    404.672,   -841.286,   -400.812
"Line.line24", 2, 1,    421.286,    200.812,       -420,       -200
"Line.line25", 2, 1,    902.533,    920.332,   -900.209,   -919.334
"Line.line26", 2, 1,    840.221,    894.339,   -837.261,   -893.017
"Line.line27", 2, 1,    777.595,    868.156,   -767.596,   -859.523
"Line.line28", 2, 1,    709.349,    840.107,   -702.435,   -834.262
"Line.line29", 2, 1,    587.959,    767.485,   -584.529,   -765.914
"Line.line30", 2, 1,    395.179,    197.863,   -393.793,   -196.668
"Line.line31", 2, 1,    253.034,    130.981,   -252.849,   -130.939
"Line.line32", 2, 1,     56.171,    37.2833,   -56.1596,   -37.4397
"Load.load1", 1, 2,        100,         60,          0,          0
"Load.load2", 1, 2,         90,         40,          0,          0
"Load.load3", 1, 2,        120,         80,          0,          0
"Load.load4", 1, 2,         60,         30,          0,          0
"Load.load5", 1, 2,         60,         20,          0,          0
"Load.load6", 1, 2,    199.292,     99.646,          0,          0
"Load.load7", 1, 2,    197.258,     98.629,          0,          0
"Load.load8", 1, 2,    58.4009,     19.467,          0,          0
"Load.load9", 1, 2,    57.6872,    19.2291,          0,          0
"Load.load10", 1, 2,    43.1867,    28.7911,          0,          0
"Load.load11", 1, 2,    57.3997,    33.4832,          0,          0
"Load.load12", 1, 2,     56.661,    33.0523,          0,          0
"Load.load13", 1, 2,    112.778,    75.1852,          0,          0
"Load.load14", 1, 2,    56.2201,    9.37002,          0,          0
"Load.load15", 1, 2,    56.0571,    18.6857,          0,          0
"Load.load16", 1, 2,    55.8164,    18.6055,          0,          0
"Load.load17", 1, 2,    83.6165,    37.1629,          0,          0
"Load.load18", 1, 2,         90,         40,          0,          0
"Load.load19", 1, 2,         90,         40,          0,          0
"Load.load20", 1, 2,         90,         40,          0,          0
"Load.load21", 1, 2,         90,         40,          0,          0
"Load.load22", 1, 2,         90,         50,          0,          0
"Load.load23", 1, 2,        420,        200,          0,          0
"Load.load24", 1, 2,        420,        200,          0,          0
"Load.load25", 1, 2,    59.9884,    24.9952,          0,          0
"Load.load26", 1, 2,    59.6668,    24.8612,          0,          0
"Load.load27", 1, 2,    58.2466,    19.4155,          0,          0
"Load.load28", 1, 2,    114.476,    66.7778,          0,          0
"Load.load29", 1, 2,    189.351,    568.052,          0,          0
"Load.load30", 1, 2,    140.759,    65.6875,          0,          0
"Load.load31", 1, 2,    196.678,    93.6561,          0,          0
"Load.load32", 1, 2,    56.1596,    37.4397,          0,          0
