Bus, BasekV, Node1, Magnitude1, Angle1, pu1
"1", 0, 1,      12660,    0.0,         0
"2", 0, 1,    12623.4,    0.0,         0
"3", 0, 1,    12450.6,    0.1,         0
"4", 0, 1,    12360.1,    0.2,         0
"5", 0, 1,    12270.8,    0.2,         0
"6", 0, 1,      12049,    0.1,         0
"7", 0, 1,    12006.8,   -0.1,         0
"8", 0, 1,    11948.5,   -0.1,         0
"9", 0, 1,    11873.9,   -0.1,         0
"10", 0, 1,    11804.9,   -0.2,         0
"11", 0, 1,    11794.7,   -0.2,         0
"12", 0, 1,      11777,   -0.2,         0
"13", 0, 1,      11705,   -0.3,         0
"14", 0, 1,    11678.3,   -0.3,         0
"15", 0, 1,    11661.8,   -0.4,         0
"16", 0, 1,    11645.8,   -0.4,         0
"17", 0, 1,    11622.1,   -0.5,         0
"18", 0, 1,    11614.9,   -0.5,         0
"19", 0, 1,    12616.8,    0.0,         0
"20", 0, 1,    12571.5,   -0.1,         0
"21", 0, 1,    12562.6,   -0.1,         0
"22", 0, 1,    12554.6,   -0.1,         0
"23", 0, 1,    12405.3,    0.1,         0
"24", 0, 1,    12320.9,    0.0,         0
"25", 0, 1,    12278.8,   -0.1,         0
"26", 0, 1,    12025.9,    0.2,         0
"27", 0, 1,    11995.3,    0.2,         0
"28", 0, 1,      11859,    0.3,         0
"29", 0, 1,    11761.3,    0.4,         0
"30", 0, 1,    11719.1,    0.5,         0
"31", 0, 1,      11670,    0.4,         0
"32", 0, 1,    11659.2,    0.4,         0
"33", 0, 1,    11655.8,    0.4,         0
