
Node Current Mismatch Report


Bus,   Node, "Current Sum (A)", "%error", "Max Current (A)"
"System Ground",  0,    0.49397,         0.139782,  353.38678
"1" ..,  1,    0.00000,         0.000000,  353.95605
"2" ..,  1,    0.00000,         0.000000,  353.96454
"3" ..,  1,    0.00000,         0.000000,  313.74933
"4" ..,  1,    0.00000,         0.000000,  222.84594
"5" ..,  1,    0.00000,         0.000000,  211.19191
"6" ..,  1,    0.00000,         0.000000,  205.80241
"7" ..,  1,    0.00000,         0.000000,   96.88405
"8" ..,  1,    0.00000,         0.000000,   78.33769
"9" ..,  1,    0.00000,         0.000000,   59.89333
"10" .,  1,    0.00000,         0.000000,   54.74956
"11" .,  1,    0.00000,         0.000000,   49.64568
"12" .,  1,    0.00000,         0.000000,   45.29484
"13" .,  1,    0.00000,         0.000000,   39.68278
"14" .,  1,    0.00000,         0.000000,   34.11725
"15" .,  1,    0.00000,         0.000000,   22.78974
"16" .,  1,    0.00000,         0.000000,   17.98273
"17" .,  1,    0.00000,         0.000000,   12.92049
"18" .,  1,    0.00000,         0.000001,    7.87800
"19" .,  1,    0.00000,         0.000000,   31.30548
"20" .,  1,    0.00000,         0.000000,   23.50585
"21" .,  1,    0.00000,         0.000000,   15.67813
"22" .,  1,    0.00000,         0.000000,    7.84485
"23" .,  1,    0.00000,         0.000000,   83.91320
"24" .,  1,    0.00000,         0.000003,   75.63461
"25" .,  1,    0.00000,         0.000007,   37.88537
"26" .,  1,    0.00000,         0.000000,  106.99242
"27" .,  1,    0.00000,         0.000000,  102.05046
"28" .,  1,    0.00000,         0.000000,   97.17287
"29" .,  1,    0.00000,         0.000000,   92.72746
"30" .,  1,    0.00000,         0.000001,   82.21454
"31" .,  1,    0.00000,         0.000000,   37.71818
"32" .,  1,    0.00000,         0.000001,   24.42198
"33" .,  1,    0.00000,         0.000001,    5.79068
