System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] =   3.549066701 + j  -12.6648549
[   2,   1] =  0.5225845034 + j-0.5589261111
[   3,   1] =  0.5225845034 + j-0.5589261111
[   2,   2] =   3.549066701 + j  -12.6648549
[   3,   2] =  0.5225845034 + j-0.5589261111
[   3,   3] =   3.549066701 + j  -12.6648549
[   4,   4] =   12.07894302 + j -17.02306468
[   5,   4] =  -8.608905455 + j  4.388487596
[   5,   5] =   13.41088015 + j -8.254250332
[   6,   5] =  -1.610583671 + j  0.820319594
[  22,   5] =  -3.191391028 + j  3.045443268
[   6,   6] =   5.291001145 + j -2.957613223
[   7,   6] =  -2.169519367 + j  1.104913689
[  26,   6] =  -1.510898106 + j  1.032380067
[   7,   7] =    4.25303471 + j -2.166079514
[   8,   7] =  -2.083515343 + j  1.061165909
[   8,   8] =   2.783150575 + j -1.665124445
[   9,   8] = -0.6996352329 + j 0.6039586199
[   9,   9] =    5.05885371 + j -4.076763955
[  10,   9] =  -0.447892665 + j  1.480534087
[  29,   9] =  -3.911325812 + j  1.992271374
[  10,  10] =  0.8321003274 + j -1.757812771
[  11,  10] = -0.3842076624 + j 0.2772787682
[  11,  11] =   1.024555813 + j-0.7373346369
[  12,  11] = -0.6403481505 + j 0.4600559528
[  12,  12] =   1.278698261 + j-0.9142665243
[  13,  12] = -0.6383501105 + j 0.4542106555
[  13,  13] =   5.223606017 + j -1.970190398
[  14,  13] =  -4.585255907 + j  1.515979827
[  14,  14] =   6.992945078 + j -2.312112006
[  15,  14] =  -2.407689171 + j 0.7961322634
[  15,  15] =   2.828434194 + j -1.127167943
[  16,  15] = -0.4207450225 + j 0.3310357636
[  16,  16] =   1.096429996 + j  -1.22042973
[  17,  16] = -0.6756849735 + j 0.8893940502
[  17,  17] =   1.619839284 + j -1.729707278
[  18,  17] = -0.9441543109 + j 0.8403133123
[  18,  18] =   1.818053472 + j -1.478494982
[  19,  18] = -0.8738991614 + j 0.6381817539
[  19,  19] =   1.152700605 + j -1.010421611
[  20,  19] = -0.2788014436 + j 0.3722399414
[  20,  20] =   1.124750825 + j -1.035593608
[  21,  20] = -0.8459493817 + j 0.6633537501
[  21,  21] =  0.8459493817 + j-0.6633537081
[  22,  22] =   3.558293525 + j -3.376050579
[  23,  22] =  -0.366902497 + j 0.3306073956
[  23,  23] =   1.399541427 + j -1.536991839
[  24,  23] =   -1.03263893 + j  1.206384528
[  24,  24] =   1.545936405 + j -1.885060876
[  25,  24] = -0.5132974747 + j 0.6786764325
[  25,  25] =  0.5132974747 + j-0.6786763905
[  26,  26] =   2.196799123 + j -1.573997367
[  27,  26] = -0.6859010166 + j 0.5416173841
[  27,  27] =   1.378136509 + j -1.083276121
[  28,  27] = -0.6922354919 + j 0.5416588208
[  28,  28] =  0.6922354919 + j-0.5416587788
[  29,  29] =   6.705607034 + j -3.414975346
[  30,  29] =  -2.794281221 + j  1.422704056
[  30,  30] =   3.325567222 + j -1.891128654
[  31,  30] = -0.5312860002 + j 0.4684246822
[  31,  31] =   1.238226535 + j -1.084294455
[  32,  31] = -0.7069405351 + j 0.6158698568
[  32,  32] =    2.27147086 + j -1.412778323
[  33,  32] =  -1.564530325 + j 0.7969085497
[  33,  33] =   2.083705172 + j -1.310009223
[  34,  33] =  -0.519174847 + j 0.5131007571
[  34,  34] =   1.882981672 + j  -2.10442825
[  35,  34] =  -1.363806825 + j  1.591327577
[  35,  35] =   2.221899357 + j -2.925522978
[  36,  35] = -0.8580925323 + j  1.334195486
[  36,  36] =  0.8580925323 + j -1.334195444
