
SYMMETRICAL COMPONENT PHASE-PHASE VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

1        12.66     0.5773          0          0         0         0
2        12.66     0.5773          0          0         0         0
3        12.66     0.5773          0          0         0         0
4        12.66     0.5773          0          0         0         0
5        12.66     0.5774          0          0         0         0
6        12.66     0.5774          0          0         0         0
7        12.66     0.5774          0          0         0         0
8        12.66     0.5774          0          0         0         0
9        12.66     0.5774          0          0         0         0
10       12.66     0.5774          0          0         0         0
11       12.66     0.5774          0          0         0         0
12       12.66     0.5774          0          0         0         0
13       12.66     0.5774          0          0         0         0
14       12.66     0.5774          0          0         0         0
15       12.66     0.5774          0          0         0         0
16       12.66     0.5774          0          0         0         0
17       12.66     0.5774          0          0         0         0
18       12.66     0.5774          0          0         0         0
19       12.66     0.5773          0          0         0         0
20       12.66     0.5773          0          0         0         0
21       12.66     0.5773          0          0         0         0
22       12.66     0.5773          0          0         0         0
23       12.66     0.5773          0          0         0         0
24       12.66     0.5773          0          0         0         0
25       12.66     0.5773          0          0         0         0
26       12.66     0.5774          0          0         0         0
27       12.66     0.5774          0          0         0         0
28       12.66     0.5774          0          0         0         0
29       12.66     0.5774          0          0         0         0
30       12.66     0.5774          0          0         0         0
31       12.66     0.5774          0          0         0         0
32       12.66     0.5774          0          0         0         0
33       12.66     0.5774          0          0         0         0
