
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

1        12.66     0.8806          0          0         0         0
2        12.62     0.8781          0          0         0         0
3        12.45     0.8661          0          0         0         0
4        12.36     0.8598          0          0         0         0
5        12.27     0.8536          0          0         0         0
6        12.05     0.8381          0          0         0         0
7        12.01     0.8352          0          0         0         0
8        11.95     0.8311          0          0         0         0
9        11.87      0.826          0          0         0         0
10        11.8     0.8212          0          0         0         0
11       11.79     0.8204          0          0         0         0
12       11.78     0.8192          0          0         0         0
13        11.7     0.8142          0          0         0         0
14       11.68     0.8123          0          0         0         0
15       11.66     0.8112          0          0         0         0
16       11.65     0.8101          0          0         0         0
17       11.62     0.8084          0          0         0         0
18       11.61     0.8079          0          0         0         0
19       12.62     0.8776          0          0         0         0
20       12.57     0.8745          0          0         0         0
21       12.56     0.8739          0          0         0         0
22       12.55     0.8733          0          0         0         0
23       12.41     0.8629          0          0         0         0
24       12.32      0.857          0          0         0         0
25       12.28     0.8541          0          0         0         0
26       12.03     0.8365          0          0         0         0
27          12     0.8344          0          0         0         0
28       11.86     0.8249          0          0         0         0
29       11.76     0.8181          0          0         0         0
30       11.72     0.8152          0          0         0         0
31       11.67     0.8118          0          0         0         0
32       11.66      0.811          0          0         0         0
33       11.66     0.8108          0          0         0         0
