
Node Current Mismatch Report


Bus,   Node, "Current Sum (A)", "%error", "Max Current (A)"
"System Ground",  0,    1.71098,         0.483899,  353.58149
"1" ..,  1,    0.00000,         0.000000,  353.58149
"2" ..,  1,    0.00181,         0.000512,  353.58999
"3" ..,  1,    0.00954,         0.003045,  313.39528
"4" ..,  1,    0.02110,         0.009469,  222.81548
"5" ..,  1,    0.01318,         0.006239,  211.20460
"6" ..,  1,    0.02021,         0.009817,  205.84202
"7" ..,  1,    0.07676,         0.079225,   96.89271
"8" ..,  1,    0.08411,         0.107229,   78.44227
"9" ..,  1,    0.02646,         0.044112,   59.97853
"10" .,  1,    0.02892,         0.052750,   54.82875
"11" .,  1,    0.02504,         0.050359,   49.71835
"12" .,  1,    0.03284,         0.072395,   45.36192
"13" .,  1,    0.03566,         0.089734,   39.74248
"14" .,  1,    0.07627,         0.223208,   34.16901
"15" .,  1,    0.03274,         0.143461,   22.82487
"16" .,  1,    0.03462,         0.192218,   18.01066
"17" .,  1,    0.03550,         0.274297,   12.94071
"18" .,  1,    0.05567,         0.700637,    7.94576
"19" .,  1,    0.00158,         0.005042,   31.28974
"20" .,  1,    0.00197,         0.008400,   23.49330
"21" .,  1,    0.00206,         0.013124,   15.66959
"22" .,  1,    0.00214,         0.027228,    7.84263
"23" .,  1,    0.01138,         0.013610,   83.60967
"24" .,  1,    0.06364,         0.084457,   75.35444
"25" .,  1,    0.07016,         0.185572,   37.80823
"26" .,  1,    0.02162,         0.020196,  107.07229
"27" .,  1,    0.02277,         0.022284,  102.17152
"28" .,  1,    0.02703,         0.027773,   97.31029
"29" .,  1,    0.06706,         0.072216,   92.85963
"30" .,  1,    0.32093,         0.389796,   82.33263
"31" .,  1,    0.08835,         0.233886,   37.77443
"32" .,  1,    0.12549,         0.513060,   24.45856
"33" .,  1,    0.03903,         0.668578,    5.83828
