
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

1        12.66          0          0          0         0         0
2        12.62          0          0          0         0         0
3        12.45          0          0          0         0         0
4        12.36          0          0          0         0         0
5        12.27          0          0          0         0         0
6        12.05          0          0          0         0         0
7        12.01          0          0          0         0         0
8        11.95          0          0          0         0         0
9        11.87          0          0          0         0         0
10       11.81          0          0          0         0         0
11       11.79          0          0          0         0         0
12       11.78          0          0          0         0         0
13       11.71          0          0          0         0         0
14       11.68          0          0          0         0         0
15       11.66          0          0          0         0         0
16       11.65          0          0          0         0         0
17       11.62          0          0          0         0         0
18       11.62          0          0          0         0         0
19       12.62          0          0          0         0         0
20       12.57          0          0          0         0         0
21       12.56          0          0          0         0         0
22       12.55          0          0          0         0         0
23       12.41          0          0          0         0         0
24       12.32          0          0          0         0         0
25       12.28          0          0          0         0         0
26       12.03          0          0          0         0         0
27          12          0          0          0         0         0
28       11.86          0          0          0         0         0
29       11.76          0          0          0         0         0
30       11.72          0          0          0         0         0
31       11.67          0          0          0         0         0
32       11.66          0          0          0         0         0
33       11.66          0          0          0         0         0
