
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

1        12.66          1          0          0         0         0
2        12.65     0.9992          0          0         0         0
3         12.6     0.9956          0          0         0         0
4        12.58     0.9938          0          0         0         0
5        12.56      0.992          0          0         0         0
6         12.5     0.9877          0          0         0         0
7         12.5      0.987          0          0         0         0
8        12.48     0.9858          0          0         0         0
9        12.46     0.9843          0          0         0         0
10       12.44     0.9829          0          0         0         0
11       12.44     0.9827          0          0         0         0
12       12.44     0.9824          0          0         0         0
13       12.42      0.981          0          0         0         0
14       12.41     0.9805          0          0         0         0
15       12.41     0.9801          0          0         0         0
16        12.4     0.9798          0          0         0         0
17        12.4     0.9794          0          0         0         0
18        12.4     0.9793          0          0         0         0
19       12.65     0.9991          0          0         0         0
20       12.64     0.9982          0          0         0         0
21       12.63     0.9979          0          0         0         0
22       12.63     0.9977          0          0         0         0
23       12.59     0.9945          0          0         0         0
24       12.57     0.9927          0          0         0         0
25       12.56     0.9917          0          0         0         0
26        12.5     0.9872          0          0         0         0
27       12.49     0.9866          0          0         0         0
28       12.46     0.9842          0          0         0         0
29       12.44     0.9826          0          0         0         0
30       12.43     0.9818          0          0         0         0
31       12.42     0.9809          0          0         0         0
32       12.42     0.9807          0          0         0         0
33       12.41     0.9806          0          0         0         0
34      0.2341     0.9746          0          0         0         0
35      0.2326     0.9684          0          0         0         0
36      0.2315      0.964          0          0         0         0
37      0.2307     0.9606          0          0         0         0
38        0.23     0.9578          0          0         0         0
39      0.2297     0.9564          0          0         0         0
40      0.2295     0.9555          0          0         0         0
41      0.2323     0.9671          0          0         0         0
42      0.2312     0.9627          0          0         0         0
43      0.2305     0.9597          0          0         0         0
44      0.2297     0.9565          0          0         0         0
45      0.2296     0.9561          0          0         0         0
46      0.2294     0.9551          0          0         0         0
47      0.2323      0.967          0          0         0         0
48      0.2315     0.9638          0          0         0         0
49      0.2307     0.9603          0          0         0         0
50      0.2299     0.9571          0          0         0         0
51      0.2296      0.956          0          0         0         0
52      0.2292     0.9544          0          0         0         0
53       0.234     0.9742          0          0         0         0
54      0.2327     0.9688          0          0         0         0
55      0.2319     0.9655          0          0         0         0
56      0.2315     0.9637          0          0         0         0
57      0.2312     0.9627          0          0         0         0
58      0.2311     0.9623          0          0         0         0
59      0.2324     0.9677          0          0         0         0
60      0.2315     0.9639          0          0         0         0
61      0.2314     0.9634          0          0         0         0
62      0.2311     0.9624          0          0         0         0
63      0.2311     0.9621          0          0         0         0
64      0.2322     0.9668          0          0         0         0
65      0.2317     0.9645          0          0         0         0
66      0.2312     0.9627          0          0         0         0
67      0.2311     0.9621          0          0         0         0
68       0.231      0.962          0          0         0         0
69      0.2369     0.9865          0          0         0         0
70      0.2365     0.9847          0          0         0         0
71      0.2362     0.9833          0          0         0         0
72      0.2359     0.9823          0          0         0         0
73      0.2358     0.9819          0          0         0         0
74      0.2364     0.9845          0          0         0         0
75      0.2361      0.983          0          0         0         0
76      0.2358     0.9819          0          0         0         0
77      0.2357     0.9815          0          0         0         0
78      0.2365     0.9845          0          0         0         0
79      0.2361     0.9828          0          0         0         0
80      0.2358     0.9818          0          0         0         0
81      0.2357     0.9816          0          0         0         0
82      0.2367     0.9854          0          0         0         0
83      0.2363     0.9838          0          0         0         0
84       0.236     0.9826          0          0         0         0
85      0.2358     0.9817          0          0         0         0
86      0.2357     0.9812          0          0         0         0
87      0.2362     0.9836          0          0         0         0
