Converged in 5 iterations.

Bus Voltages:
Bus Number   Real         Imaginary    Magnitude    Angle       
1            1.0000       0.0000       1.0000       0.00        
2            0.9985       0.0000       0.9985       0.00        
3            0.9914       0.0001       0.9914       0.01        
4            0.9877       0.0002       0.9877       0.01        
5            0.9839       0.0002       0.9839       0.01        
6            0.9749       -0.0019      0.9749       -0.11       
7            0.9727       -0.0040      0.9727       -0.24       
8            0.9698       -0.0035      0.9698       -0.21       
9            0.9660       -0.0040      0.9660       -0.24       
10           0.9624       -0.0044      0.9624       -0.26       
11           0.9619       -0.0043      0.9619       -0.26       
12           0.9610       -0.0042      0.9611       -0.25       
13           0.9574       -0.0048      0.9574       -0.29       
14           0.9560       -0.0054      0.9561       -0.32       
15           0.9551       -0.0056      0.9551       -0.34       
16           0.9543       -0.0057      0.9543       -0.34       
17           0.9530       -0.0063      0.9530       -0.38       
18           0.9527       -0.0063      0.9527       -0.38       
19           0.9982       -0.0001      0.9982       -0.00       
20           0.9964       -0.0005      0.9964       -0.03       
21           0.9960       -0.0007      0.9960       -0.04       
22           0.9957       -0.0008      0.9957       -0.05       
23           0.9897       -0.0001      0.9897       -0.00       
24           0.9864       -0.0007      0.9864       -0.04       
25           0.9847       -0.0010      0.9847       -0.06       
26           0.9741       -0.0018      0.9741       -0.11       
27           0.9730       -0.0018      0.9730       -0.11       
28           0.9688       -0.0029      0.9688       -0.17       
29           0.9659       -0.0036      0.9659       -0.21       
30           0.9645       -0.0036      0.9645       -0.21       
31           0.9624       -0.0042      0.9624       -0.25       
32           0.9619       -0.0044      0.9619       -0.26       
33           0.9618       -0.0045      0.9618       -0.27       
34           0.9985       0.0000       0.9985       0.00        
35           0.9906       0.0016       0.9906       0.09        
36           0.9840       0.0029       0.9840       0.17        
37           0.9785       0.0040       0.9785       0.23        
38           0.9742       0.0048       0.9742       0.28        
39           0.9717       0.0053       0.9718       0.31        
40           0.9705       0.0055       0.9705       0.33        
41           0.9897       0.0019       0.9897       0.11        
42           0.9831       0.0032       0.9831       0.19        
43           0.9776       0.0043       0.9776       0.25        
44           0.9723       0.0054       0.9724       0.32        
45           0.9708       0.0056       0.9708       0.33        
46           0.9696       0.0058       0.9696       0.34        
47           0.9897       0.0019       0.9897       0.11        
48           0.9831       0.0032       0.9831       0.19        
49           0.9776       0.0043       0.9776       0.25        
50           0.9733       0.0051       0.9733       0.30        
51           0.9708       0.0056       0.9708       0.33        
52           0.9696       0.0058       0.9696       0.34        
53           0.9914       0.0001       0.9914       0.01        
54           0.9849       0.0017       0.9849       0.10        
55           0.9794       0.0030       0.9794       0.17        
56           0.9752       0.0039       0.9752       0.23        
57           0.9721       0.0046       0.9721       0.27        
58           0.9702       0.0050       0.9702       0.30        
59           0.9840       0.0020       0.9840       0.11        
60           0.9785       0.0033       0.9785       0.19        
61           0.9743       0.0042       0.9743       0.25        
62           0.9712       0.0049       0.9712       0.29        
63           0.9683       0.0057       0.9683       0.34        
64           0.9840       0.0020       0.9840       0.11        
65           0.9785       0.0033       0.9785       0.19        
66           0.9743       0.0042       0.9743       0.25        
67           0.9712       0.0049       0.9712       0.29        
68           0.9693       0.0053       0.9693       0.32        
69           0.9877       0.0002       0.9877       0.01        
70           0.9830       0.0013       0.9830       0.08        
71           0.9795       0.0022       0.9795       0.13        
72           0.9772       0.0028       0.9772       0.16        
73           0.9865       0.0005       0.9865       0.03        
74           0.9822       0.0017       0.9822       0.10        
75           0.9786       0.0025       0.9786       0.15        
76           0.9763       0.0031       0.9763       0.18        
77           0.9857       0.0008       0.9857       0.04        
78           0.9821       0.0016       0.9821       0.10        
79           0.9786       0.0025       0.9786       0.15        
80           0.9763       0.0031       0.9764       0.18        
81           0.9857       0.0008       0.9857       0.05        
82           0.9839       0.0002       0.9839       0.01        
83           0.9786       0.0015       0.9786       0.09        
84           0.9744       0.0025       0.9744       0.15        
85           0.9715       0.0032       0.9715       0.19        
86           0.9697       0.0036       0.9697       0.21        
87           0.9777       0.0018       0.9777       0.11        
88           0.9736       0.0028       0.9736       0.16        
89           0.9706       0.0035       0.9706       0.21        
90           0.9688       0.0039       0.9688       0.23        
91           0.9777       0.0018       0.9777       0.11        
92           0.9736       0.0028       0.9736       0.16        
93           0.9706       0.0035       0.9706       0.21        
94           0.9687       0.0040       0.9687       0.24        
95           0.9749       -0.0019      0.9749       -0.11       
96           0.9694       -0.0005      0.9694       -0.03       
97           0.9658       0.0004       0.9658       0.02        
98           0.9633       0.0010       0.9633       0.06        
99           0.9621       0.0012       0.9621       0.07        
100          0.9684       -0.0002      0.9684       -0.01       
101          0.9685       -0.0002      0.9685       -0.01       
