Bus_Number,Real,Imaginary,Magnitude,Angle
1,1,0,1,0
2,0.997032228,0.000251998,0.99703226,0.014481411
3,0.982936605,0.001647641,0.982937986,0.096041562
4,0.975452535,0.0027521,0.975456417,0.161651416
5,0.968051554,0.003857058,0.968059238,0.228285317
6,0.949655595,0.00221857,0.949658186,0.133853233
7,0.946171282,-0.001593155,0.946172623,-0.096474021
8,0.941327925,-0.000992378,0.941328448,-0.060403029
9,0.935056847,-0.002178446,0.935059384,-0.133484465
10,0.929238998,-0.003179022,0.929244436,-0.196014005
11,0.928379392,-0.003058559,0.928384431,-0.188761044
12,0.926880414,-0.002867709,0.926884851,-0.177268943
13,0.920761646,-0.004316303,0.920771763,-0.268586484
14,0.918488138,-0.005566988,0.918505009,-0.347267436
15,0.917071998,-0.006161577,0.917092696,-0.384950185
16,0.915701536,-0.006524043,0.915724777,-0.408204862
17,0.913664765,-0.007741762,0.913697563,-0.485473085
18,0.913056412,-0.007889436,0.913090497,-0.495062651
19,0.996503894,6.35E-05,0.996503896,0.003650893
20,0.992925693,-0.001097458,0.9929263,-0.063327685
21,0.992220763,-0.00143191,0.992221796,-0.082685564
22,0.991582774,-0.001783133,0.991584377,-0.103033135
23,0.979351628,0.001112406,0.97935226,0.065079942
24,0.972681021,-0.000401561,0.972681104,-0.02365394
25,0.969355446,-0.001139535,0.969356115,-0.067354557
26,0.947724584,0.002866708,0.94772892,0.173309578
27,0.945157594,0.003785269,0.945165174,0.229463111
28,0.933711713,0.005091176,0.933725593,0.31240907
29,0.925486018,0.006304759,0.925507493,0.390314376
30,0.921915585,0.007974399,0.921950073,0.495585503
31,0.91776527,0.006586367,0.917788903,0.411177628
32,0.916852444,0.006211066,0.916873482,0.388134901
33,0.916569637,0.006085488,0.916589839,0.380405009
