Converged in 14 iterations.

Bus Voltages:
Bus Number   Real         Imaginary    Magnitude    Angle       
1            1.0000       0.0000       1.0000       0.00        
2            0.9902       0.0021       0.9902       0.12        
3            0.9396       0.0133       0.9397       0.81        
4            0.9178       0.0173       0.9180       1.08        
5            0.8968       0.0215       0.8970       1.37        
6            0.8430       0.0193       0.8433       1.31        
7            0.8242       0.0059       0.8242       0.41        
8            0.8001       0.0146       0.8003       1.05        
9            0.7610       0.0174       0.7612       1.31        
10           0.7353       0.0178       0.7355       1.39        
11           0.7315       0.0191       0.7317       1.50        
12           0.7273       0.0196       0.7276       1.54        
13           0.7106       0.0157       0.7108       1.27        
14           0.7071       0.0138       0.7073       1.12        
15           0.7048       0.0129       0.7049       1.05        
16           0.7024       0.0123       0.7025       1.01        
17           0.6985       0.0102       0.6986       0.84        
18           0.6971       0.0099       0.6972       0.82        
19           0.9895       0.0018       0.9895       0.11        
20           0.8369       0.0168       0.8370       1.15        
21           0.7959       0.0129       0.7960       0.93        
22           0.7251       0.0187       0.7253       1.48        
23           0.9186       0.0164       0.9187       1.02        
24           0.8877       0.0183       0.8879       1.18        
25           0.8729       0.0196       0.8732       1.28        
26           0.8406       0.0201       0.8408       1.37        
27           0.8570       0.0190       0.8572       1.27        
28           0.7316       0.0186       0.7318       1.45        
29           0.8659       0.0201       0.8661       1.33        
30           0.7060       0.0218       0.7064       1.77        
31           0.7078       0.0147       0.7080       1.19        
32           0.7067       0.0142       0.7068       1.15        
33           0.6953       0.0096       0.6954       0.79        
