Converged in 3 iterations.

Bus Voltages:
Bus Number   Real         Imaginary    Magnitude    Angle       
1            1.0000       0.0000       1.0000       0.00        
2            0.9986       0.0000       0.9986       0.00        
3            0.9919       0.0001       0.9919       0.01        
4            0.9885       0.0002       0.9885       0.01        
5            0.9850       0.0002       0.9850       0.01        
6            0.9766       -0.0017      0.9766       -0.10       
7            0.9747       -0.0037      0.9747       -0.21       
8            0.9722       -0.0032      0.9722       -0.19       
9            0.9688       -0.0036      0.9689       -0.21       
10           0.9658       -0.0040      0.9658       -0.24       
11           0.9654       -0.0039      0.9654       -0.23       
12           0.9646       -0.0038      0.9646       -0.22       
13           0.9615       -0.0043      0.9615       -0.26       
14           0.9603       -0.0048      0.9603       -0.29       
15           0.9594       -0.0050      0.9595       -0.30       
16           0.9587       -0.0051      0.9587       -0.31       
17           0.9576       -0.0056      0.9576       -0.34       
18           0.9573       -0.0057      0.9573       -0.34       
19           0.9983       -0.0001      0.9983       -0.00       
20           0.9965       -0.0005      0.9965       -0.03       
21           0.9961       -0.0007      0.9961       -0.04       
22           0.9958       -0.0008      0.9958       -0.05       
23           0.9902       -0.0001      0.9902       -0.01       
24           0.9869       -0.0007      0.9869       -0.04       
25           0.9852       -0.0010      0.9852       -0.06       
26           0.9758       -0.0017      0.9758       -0.10       
27           0.9747       -0.0017      0.9747       -0.10       
28           0.9705       -0.0027      0.9705       -0.16       
29           0.9676       -0.0035      0.9677       -0.20       
30           0.9663       -0.0034      0.9663       -0.20       
31           0.9641       -0.0041      0.9641       -0.24       
32           0.9637       -0.0043      0.9637       -0.26       
33           0.9635       -0.0044      0.9635       -0.26       
34           0.9986       0.0000       0.9986       0.00        
35           0.9913       0.0015       0.9913       0.08        
36           0.9853       0.0027       0.9853       0.16        
37           0.9804       0.0036       0.9805       0.21        
38           0.9768       0.0044       0.9768       0.26        
39           0.9743       0.0048       0.9743       0.28        
40           0.9731       0.0051       0.9731       0.30        
41           0.9904       0.0017       0.9904       0.10        
42           0.9844       0.0030       0.9844       0.17        
43           0.9795       0.0039       0.9795       0.23        
44           0.9758       0.0046       0.9758       0.27        
45           0.9734       0.0051       0.9734       0.30        
46           0.9722       0.0053       0.9722       0.31        
47           0.9904       0.0017       0.9904       0.10        
48           0.9844       0.0030       0.9844       0.17        
49           0.9796       0.0039       0.9796       0.23        
50           0.9758       0.0046       0.9758       0.27        
51           0.9734       0.0051       0.9734       0.30        
52           0.9722       0.0053       0.9722       0.32        
53           0.9919       0.0001       0.9919       0.01        
54           0.9860       0.0015       0.9860       0.09        
55           0.9812       0.0027       0.9812       0.16        
56           0.9776       0.0035       0.9776       0.20        
57           0.9752       0.0040       0.9752       0.24        
58           0.9739       0.0043       0.9739       0.25        
59           0.9852       0.0018       0.9852       0.11        
60           0.9803       0.0030       0.9803       0.18        
61           0.9767       0.0038       0.9767       0.22        
62           0.9743       0.0044       0.9743       0.26        
63           0.9730       0.0046       0.9730       0.27        
64           0.9851       0.0018       0.9851       0.11        
65           0.9803       0.0030       0.9803       0.18        
66           0.9767       0.0038       0.9767       0.22        
67           0.9743       0.0043       0.9743       0.26        
68           0.9730       0.0046       0.9730       0.27        
69           0.9885       0.0002       0.9885       0.01        
70           0.9838       0.0013       0.9838       0.08        
71           0.9803       0.0022       0.9803       0.13        
72           0.9780       0.0028       0.9780       0.16        
73           0.9768       0.0031       0.9768       0.18        
74           0.9830       0.0016       0.9830       0.10        
75           0.9794       0.0025       0.9794       0.15        
76           0.9770       0.0031       0.9771       0.18        
77           0.9759       0.0034       0.9759       0.20        
78           0.9829       0.0016       0.9829       0.09        
79           0.9794       0.0025       0.9794       0.15        
80           0.9771       0.0031       0.9771       0.18        
81           0.9760       0.0034       0.9760       0.20        
82           0.9850       0.0002       0.9850       0.01        
83           0.9802       0.0013       0.9802       0.08        
84           0.9767       0.0022       0.9767       0.13        
85           0.9743       0.0027       0.9743       0.16        
86           0.9731       0.0030       0.9731       0.18        
87           0.9794       0.0016       0.9794       0.10        
88           0.9758       0.0025       0.9758       0.15        
89           0.9734       0.0031       0.9734       0.18        
90           0.9722       0.0034       0.9722       0.20        
91           0.9794       0.0016       0.9794       0.10        
92           0.9758       0.0025       0.9758       0.15        
93           0.9734       0.0031       0.9734       0.18        
94           0.9721       0.0034       0.9721       0.20        
95           0.9766       -0.0017      0.9766       -0.10       
96           0.9717       -0.0006      0.9717       -0.03       
97           0.9681       0.0003       0.9681       0.02        
98           0.9657       0.0009       0.9657       0.05        
99           0.9645       0.0012       0.9645       0.07        
100          0.9708       -0.0003      0.9708       -0.02       
101          0.9672       0.0007       0.9672       0.04        
102          0.9648       0.0013       0.9648       0.07        
103          0.9636       0.0015       0.9636       0.09        
104          0.9708       -0.0003      0.9708       -0.02       
105          0.9672       0.0007       0.9672       0.04        
106          0.9647       0.0013       0.9647       0.08        
107          0.9636       0.0015       0.9636       0.09        
108          0.9747       -0.0037      0.9747       -0.22       
109          0.9674       -0.0020      0.9674       -0.12       
110          0.9612       -0.0007      0.9612       -0.04       
111          0.9564       0.0004       0.9564       0.02        
112          0.9527       0.0013       0.9527       0.08        
113          0.9503       0.0018       0.9503       0.11        
114          0.9491       0.0021       0.9491       0.13        
115          0.9664       -0.0017      0.9664       -0.10       
